full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
affaan-m/everything-claude-code,149418,149418,23120,217,217,38,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,51177,51177,8346,96,96,17,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,8737,8737,14366,5,5,5,https://github.com/ChinaSiro/claude-code-sourcemap
hesreallyhim/awesome-claude-code,37817,37817,3051,31,31,4,https://github.com/hesreallyhim/awesome-claude-code
pengchengneo/Claude-Code,1133,1133,2090,1,1,1,https://github.com/pengchengneo/Claude-Code
musistudio/claude-code-router,31914,31914,2523,15,15,0,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,24403,24403,2398,8,8,1,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,34871,34871,3288,153,153,20,https://github.com/shanraisshan/claude-code-best-practice
LING71671/Open-ClaudeCode,709,709,1059,1,1,4,https://github.com/LING71671/Open-ClaudeCode
oboard/claude-code-rev,2896,2896,3677,5,5,5,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2113,2113,3444,2,2,1,https://github.com/ponponon/claude_code_src
VoltAgent/awesome-claude-code-subagents,16865,16865,1922,17,17,1,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6991,6991,1691,4,4,1,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,8559,8559,1582,3,3,0,https://github.com/Piebald-AI/claude-code-system-prompts
Donchitos/Claude-Code-Game-Studios,8537,8537,1312,11,11,-1,https://github.com/Donchitos/Claude-Code-Game-Studios
diet103/claude-code-infrastructure-showcase,9438,9438,1207,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,8576,8576,641,4,4,0,https://github.com/frankbria/ralph-claude-code
hangsman/claude-code-source,752,752,1725,0,0,1,https://github.com/hangsman/claude-code-source
liuup/claude-code-analysis,1324,1324,1147,19,19,8,https://github.com/liuup/claude-code-analysis
ykdojo/claude-code-tips,7291,7291,513,8,8,0,https://github.com/ykdojo/claude-code-tips
chauncygu/collection-claude-code-source-code,1946,1946,2077,3,3,4,https://github.com/chauncygu/collection-claude-code-source-code
pedrohcgs/claude-code-my-workflow,883,883,1772,1,1,1,https://github.com/pedrohcgs/claude-code-my-workflow
ChrisWiles/claude-code-showcase,5765,5765,520,3,3,1,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3774,3774,554,1,1,0,https://github.com/OneRedOak/claude-code-workflows
huangserva/claude-code-cli,544,544,1275,0,0,1,https://github.com/huangserva/claude-code-cli
lintsinghua/claude-code-book,2531,2531,608,10,10,4,https://github.com/lintsinghua/claude-code-book
qwibitai/nanoclaw,27020,27020,11462,8,8,16,https://github.com/qwibitai/nanoclaw
1rgs/claude-code-proxy,3407,3407,451,0,0,0,https://github.com/1rgs/claude-code-proxy
777genius/claude-code-source-code,892,892,1123,0,0,0,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3497,3497,596,0,0,0,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3902,3902,369,2,2,0,https://github.com/zebbern/claude-code-guide
anthropics/skills,114342,114342,13045,121,121,22,https://github.com/anthropics/skills
Maciek-roboblog/Claude-Code-Usage-Monitor,7467,7467,372,0,0,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
sickn33/antigravity-awesome-skills,31951,31951,5314,17,17,6,https://github.com/sickn33/antigravity-awesome-skills
kodu-ai/claude-coder,5281,5281,199,1,1,0,https://github.com/kodu-ai/claude-coder
lorryjovens-hub/claude-code-rust,1274,1274,524,4,4,1,https://github.com/lorryjovens-hub/claude-code-rust
zstmfhy/Claude-code,190,190,283,0,0,0,https://github.com/zstmfhy/Claude-code
Yuyz0112/claude-code-reverse,2342,2342,402,0,0,-1,https://github.com/Yuyz0112/claude-code-reverse
FlorianBruniaux/claude-code-ultimate-guide,3132,3132,435,4,4,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
fuergaosi233/claude-code-proxy,2385,2385,337,0,0,1,https://github.com/fuergaosi233/claude-code-proxy
RichardAtCT/claude-code-telegram,2397,2397,331,0,0,0,https://github.com/RichardAtCT/claude-code-telegram
anthropics/claude-code-security-review,4193,4193,367,0,0,0,https://github.com/anthropics/claude-code-security-review
Windy3f3f3f3f/how-claude-code-works,1705,1705,491,8,8,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
Cranot/claude-code-guide,2578,2578,285,1,1,0,https://github.com/Cranot/claude-code-guide
Alishahryar1/free-claude-code,1800,1800,323,2,2,1,https://github.com/Alishahryar1/free-claude-code
wanshuiyin/Auto-claude-code-research-in-sleep,6066,6066,549,14,14,1,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
AprilNEA/claude-code-source,370,370,613,0,0,0,https://github.com/AprilNEA/claude-code-source
fazxes/Claude-code,200,200,204,0,0,0,https://github.com/fazxes/Claude-code
ding113/claude-code-hub,2368,2368,265,1,1,0,https://github.com/ding113/claude-code-hub
anthropics/claude-code-base-action,786,786,597,0,0,0,https://github.com/anthropics/claude-code-base-action
router-for-me/CLIProxyAPI,24654,24654,4125,49,49,6,https://github.com/router-for-me/CLIProxyAPI
obra/superpowers,144763,144763,12392,321,321,34,https://github.com/obra/superpowers
https-deeplearning-ai/sc-claude-code-files,480,480,660,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
repowise-dev/claude-code-prompts,904,904,348,-1,-1,0,https://github.com/repowise-dev/claude-code-prompts
luyao618/Claude-Code-Source-Study,1085,1085,455,3,3,1,https://github.com/luyao618/Claude-Code-Source-Study
eyaltoledano/claude-task-master,26468,26468,2480,1,1,2,https://github.com/eyaltoledano/claude-task-master
edmund-io/edmunds-claude-code,1388,1388,282,0,0,0,https://github.com/edmund-io/edmunds-claude-code
guanshan/ClaudeCode,54,54,212,0,0,0,https://github.com/guanshan/ClaudeCode
snarktank/ralph,15050,15050,1538,24,24,2,https://github.com/snarktank/ralph
Pimzino/claude-code-spec-workflow,3640,3640,256,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
garrytan/gstack,68897,68897,9600,115,115,19,https://github.com/garrytan/gstack
wshobson/agents,33317,33317,3621,13,13,1,https://github.com/wshobson/agents
bfly123/claude_code_bridge,2172,2172,202,2,2,1,https://github.com/bfly123/claude_code_bridge
Yeachan-Heo/oh-my-claudecode,27185,27185,2509,49,49,3,https://github.com/Yeachan-Heo/oh-my-claudecode
JrCx7scC/claude-code-source,322,322,477,1,1,2,https://github.com/JrCx7scC/claude-code-source
anthropics/claude-plugins-official,16537,16537,1897,13,13,6,https://github.com/anthropics/claude-plugins-official
ghuntley/claude-code-source-code-deobfuscation,971,971,555,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
andrew-kramer-inno/claude-code-source-build,562,562,504,1,1,0,https://github.com/andrew-kramer-inno/claude-code-source-build
AICoderTudou/claude-code-tudou,456,456,372,2,2,3,https://github.com/AICoderTudou/claude-code-tudou
carlvellotti/claude-code-pm-course,1811,1811,279,1,1,0,https://github.com/carlvellotti/claude-code-pm-course
