full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
affaan-m/everything-claude-code,149756,149756,23177,164,164,28,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,51296,51296,8365,44,44,11,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,8745,8745,14370,3,3,3,https://github.com/ChinaSiro/claude-code-sourcemap
hesreallyhim/awesome-claude-code,37870,37870,3060,23,23,3,https://github.com/hesreallyhim/awesome-claude-code
pengchengneo/Claude-Code,1136,1136,2091,2,2,1,https://github.com/pengchengneo/Claude-Code
musistudio/claude-code-router,31936,31936,2524,11,11,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,24417,24417,2398,9,9,0,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,35328,35328,3337,227,227,19,https://github.com/shanraisshan/claude-code-best-practice
LING71671/Open-ClaudeCode,711,711,1061,2,2,2,https://github.com/LING71671/Open-ClaudeCode
oboard/claude-code-rev,2903,2903,3680,4,4,1,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2116,2116,3445,1,1,0,https://github.com/ponponon/claude_code_src
VoltAgent/awesome-claude-code-subagents,16889,16889,1926,20,20,2,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6995,6995,1694,1,1,0,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,8569,8569,1584,6,6,2,https://github.com/Piebald-AI/claude-code-system-prompts
Donchitos/Claude-Code-Game-Studios,8552,8552,1314,7,7,1,https://github.com/Donchitos/Claude-Code-Game-Studios
diet103/claude-code-infrastructure-showcase,9440,9440,1207,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,8580,8580,641,0,0,0,https://github.com/frankbria/ralph-claude-code
hangsman/claude-code-source,752,752,1724,0,0,0,https://github.com/hangsman/claude-code-source
liuup/claude-code-analysis,1341,1341,1152,12,12,2,https://github.com/liuup/claude-code-analysis
ykdojo/claude-code-tips,7312,7312,514,11,11,0,https://github.com/ykdojo/claude-code-tips
chauncygu/collection-claude-code-source-code,1955,1955,2081,4,4,1,https://github.com/chauncygu/collection-claude-code-source-code
pedrohcgs/claude-code-my-workflow,887,887,1780,2,2,3,https://github.com/pedrohcgs/claude-code-my-workflow
ChrisWiles/claude-code-showcase,5766,5766,520,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3775,3775,554,0,0,0,https://github.com/OneRedOak/claude-code-workflows
huangserva/claude-code-cli,546,546,1276,0,0,0,https://github.com/huangserva/claude-code-cli
lintsinghua/claude-code-book,2545,2545,611,8,8,3,https://github.com/lintsinghua/claude-code-book
qwibitai/nanoclaw,27041,27041,11495,8,8,11,https://github.com/qwibitai/nanoclaw
777genius/claude-code-source-code,892,892,1123,0,0,0,https://github.com/777genius/claude-code-source-code
1rgs/claude-code-proxy,3411,3411,451,1,1,0,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3498,3498,597,1,1,0,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3904,3904,370,0,0,0,https://github.com/zebbern/claude-code-guide
anthropics/skills,114504,114504,13076,85,85,18,https://github.com/anthropics/skills
Maciek-roboblog/Claude-Code-Usage-Monitor,7472,7472,372,2,2,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
